name,is_healthy,is_vegetarian,to_vegetarian,to_non_vegetarian,to_healthy,to_unhealthy
plant_based_red_meat_ground,None,y,,red_meat_ground,,
plant_based_red_meat_cut,None,y,,red_meat_cut,,
red_meat_ground,n,n,plant_based_red_meat_ground,,poultry_ground,
red_meat_cut,n,n,plant_based_red_meat_cut,,poultry_cut,
boned_fish,y,n,soy_coagulant,,,red_meat_cut
shellfish,y,n,soy_coagulant,,,red_meat_cut
poultry_ground,y,n,soy_coagulant,,,red_meat_ground
poultry_cut,y,n,soy_coagulant,,,red_meat_cut
eggs_animal,y,n,eggs_plant,,,
eggs_plant,y,y,,eggs_animal,,
potatoes_healthy,y,y,,,,potatoes_unhealthy
potatoes_unhealthy,n,y,,,potatoes_healthy,
rice_healthy,y,y,,,,rice_unhealthy
rice_unhealthy,n,y,,,rice_healthy,
pasta_healthy,y,y,,,,pasta_unhealthy
pasta_unhealthy,n,y,,,pasta_healthy,
breads_healthy,y,y,,,,breads_unhealthy
breads_unhealthy,n,y,,,breads_healthy,
oats,y,y,,,,
cereals_healthy,y,y,,,,cereals_unhealthy
cereals_unhealthy,n,y,,,cereals_healthy,
yogurts_regular,None,y,,,yogurts_healthy,
yogurts_healthy,y,y,,,,yogurts_regular
animal_broth_healthy,y,n,plant_broth_healthy,,animal_broth_healthy,
animal_broth_unhealthy,n,n,plant_broth_unhealthy,,,animal_broth_unhealthy
plant_broth_healthy,y,y,,animal_broth_healthy,,plant_broth_unhealthy
plant_broth_unhealthy,n,y,,animal_broth_unhealthy,plant_broth_healthy,
nuts_seeds_healthy,y,y,,,,nuts_seeds_healthy
nuts_seeds_regular,None,y,,,nuts_seeds_healthy,
beans_legumes_healthy,y,y,,,,beans_legumes_regular
beans_legumes_regular,None,y,,,beans_legumes_healthy,
spices_herbs_baking,None,y,,,,
spices_herbs_seasoning,None,y,,,,
sweeteners_healthy,y,y,,,,sweeteners_unhealthy
sweeteners_unhealthy,n,y,,,sweeteners_healthy,
butters,None,y,,lard,,
non_butter_oils_regular,None,y,,lard,non_butter_oils_healthy,
non_butter_oils_healthy,y,y,,lard,,non_butter_oils_regular
lard,n,n,non_butter_oils_regular,,,
soy_coagulant,y,y,,poultry_cut,,
vegetables,y,y,,,,
fruits,y,y,,,,
plant_milk,y,y,,animal_milk,,
cheeses,y,y,,,,
animal_milk,y,y,,,,
condiments,n,y,,,,
salts,n,y,,,,
