name,country
apple,
apricot,
avocado,mexico
banana,
bartlett pear,
bilberry,
blackberry,
blackcurrant,
blood orange,
blueberry,
boysenberry,
breadfruit,
cantaloupe,
carambola,
cherimoya,
cherry,
clementine,
cloudberry,
coconut,
coconut meat,
cranberry,
currant,
damson,
date,
dragonfruit,
dried cranberries,
durian,
elderberry,
feijoa,
fig,
goji berry,
gooseberry,
grape,
grapefruit,
guava,mexico
honeydew,
huckleberry,
jackfruit,
jambul,
jujube,
kiwi,
kiwi fruit,
kumquat,
lemon,italy
lime,mexico
loquat,
lychee,japan
mandarin,japan
mandarine,
mango,mexico
mangosteen,
marion berry,
marionberry,
melon,
miracle fruit,
mulberry,
nectarine,
olive,
orange,
papaya,
passion fruit,
passionfruit,
peach,
pear,
persimmon,japan
physalis,
pineapple,
plantain,
plum,
pomegranate,
pomelo,
prune,
purple mangosteen,
quince,
raisin,
rambutan,
raspberry,
redcurrant,
rock melon,
salal berry,
salmon berry,
satsuma,
star fruit,
strawberry,
tamarillo,
tamarind,
tangerine,
ugli fruit,
watermelon,
western raspberry,
williams pear,
hyuganatsu,japan
melograno,italy
pricky pear,italy
