name, country
udon, japan
spaghetti, italy
penne, italy
fettucine, italy
rigatoni, italy
macaroni, italy
ravioli, italy
lasagne, italy
hiyamugi, japan
ramen, japan
sanuki udon, japan
shirataki noodles, japan
soba, japan
sōmen, japan
uanko soba, japan
yakisoba, japan
biangbiang noodles, china
cellophane noodles, china
chinkiang pot cover noodles, china
cumian, china
daoxiao noodles, china
dragon beard noodles, china
henan braised noodles, china
hot dry noodles, china
jook-sing noodles, china
kaomianjin, china
lai fun, china
lamian, china
liangpi, china
migan, china
misua, china
mixian, china
mung bean sheets, china
oil noodles, china
paomo, china
rice vermicelli, china
saang mein, china
shahe fen, china
shrimp roe noodles, china
silver needle noodles, china
yi mein, china
youmian, china
cup noodles,
fideo,
fried noodles,
frozen noodles,
instant noodle,
mohnnudel,
rice noodles,
rice vermicelli,
schupfnudel,
