name,country
allspice,
ancho chilies,
anise seeds,italy
asian sesame,
basil,italy
bay leaf,italy
bay leaves,
black pepper,italy
black peppercorns,
blackening seasoning,
borage,
cajun,
cajun seasoning,
caraway,
caraway seeds,
cardamom,
cardamom pods,
cayenne pepper,
celery salt,
celery seed,
chervil,
chicory,
chili powder,mexico
chinese five-spice powder,
chives,
cinnamon,
cinnamon sticks,
clove,
cloves,
common sage,italy
coriander,mexico
cream of tartar,
crushed bay leaves,
cumin,mexico
cumin seeds,
curry powder,
dill,
dried allspice,
dried ancho chilies,
dried anise seeds,italy
dried bay leaves,
dried black pepper,
dried black peppercorns,
dried blackening seasoning,
dried cajun,
dried caraway seeds,
dried cardamom,
dried cardamom pods,
dried cayenne pepper,
dried celery salt,
dried celery seed,
dried chili powder,
dried chinese five-spice powder,
dried cinnamon,
dried cinnamon sticks,
dried cloves,
dried coriander,
dried cream of tartar,
dried cumin,
dried cumin seeds,
dried curry powder,
dried fennel seeds,
dried fenugreek seeds,
dried fleur de sel,
dried garam masala,
dried ginger,
dried herbes de provence,
dried juniper berries,
dried kosher salt,
dried lemongrass,
dried mustard powder,
dried mustard seeds,
dried nutmeg,
dried oregano,italy
dried paprika,
dried parsley,italy
dried pepper,
dried poppy seeds,
dried poultry seasoning,
dried red pepper,
dried rosemary,italy
dried saffron,
dried salt,
dried seafood seasoning,
dried sesame seeds,
dried smoked paprika,
dried star anise,
dried szechuan peppercorns,
dried thyme,italy
dried turmeric,
dried vanilla beans,
dried vanilla extract,
dried wasabi powder,
dried white peppercorns,
fennel,
fennel seeds,
fenugreek seeds,
fleur de sel,
fresh mint,
garam masala,
garlic,italy
garlic powder,italy
garlic salt,
ginger,
grains of paradise,
ground allspice,
ground ancho chilies,
ground anise seeds,
ground black pepper,
ground black peppercorns,
ground blackening seasoning,
ground cajun,
ground caraway seeds,
ground cardamom,
ground cardamom pods,
ground cayenne pepper,
ground celery salt,
ground celery seed,
ground chili powder,
ground chinese five-spice powder,
ground cinnamon,
ground cinnamon sticks,
ground cloves,
ground coriander,
ground cream of tartar,
ground cumin,
ground cumin seeds,
ground curry powder,
ground fennel seeds,
ground fenugreek seeds,
ground fleur de sel,
ground garam masala,
ground ginger,
ground herbes de provence,
ground juniper berries,
ground kosher salt,
ground lemongrass,
ground mustard powder,
ground mustard seeds,
ground nutmeg,
ground oregano,italy
ground paprika,
ground parsley,italy
ground pepper,
ground poppy seeds,
ground poultry seasoning,
ground red pepper,
ground rosemary,italy
ground saffron,
ground salt,
ground seafood seasoning,
ground sesame seeds,
ground smoked paprika,
ground star anise,
ground szechuan peppercorns,
ground thyme,italy
ground turmeric,
ground vanilla beans,
ground vanilla extract,
ground wasabi powder,
ground white peppercorns,
herbes de provence,
horseradish,
italian seasoning,
juniper berries,
kosher salt,
lemon balm,
lemongrass,
lovage,
mace,
marjoram,italy
mint,
mustard powder,
mustard seeds,
nutmeg,
onion powder,
onion salt,
orange zest,
oregano,italy
paprika,
parsley,italy
pepper,
peppermint,
poppy,
poppy seeds,
poultry seasoning,
red pepper,
red pepper flakes,italy
rosemary,italy
saffron,
salt,
seafood seasoning,
sesame seeds,
smoked paprika,
star anise,
sweet cicely,
szechuan peppercorns,
taco seasoning,
tarragon,
thyme,italy
toasted sesame,
tumeric,
turmeric,
vanilla,
vanilla beans,
wasabi powder,
white peppercorns,
mitsuba,japan
shiso,japan
negi,japan
sansho pepper,japan
shichimi togarashi,japan
mexican oregano,mexico
cilantro,mexico
spearmint leaves,
scallions,
citric acid,
pumpkin powder,
old bay seasoning,
adobo seasoning,
agar agar powder,
aji amarillo,
aji panca,
ancho pepper,
apple pie spice ,
absorbic acid,
cassia,
jerk spice,
lavendar,
anchiote powder,
anchiote paste,
chia seeds,
gochugaru,
kaffir lime leaves,
mahlab,
loomi,
sumac,
pink pepper,
summer savory,italy
baharat,
bebere,
bouquet garni,
dukkah,
pickling spice,
ras el hanout,
za'atar seasoning blend,
corriander,
chaat masala,
carom seeds,
tulsi herb,
soy sauce powder,
five spice,
ground canelia,
cracked fennel seed,
whole fennel seed,
ginger root,
hot mustard,
bird’s eye chili pepper,
cilantro,italy 
chamomile,italy 
crushed red pepper,italy 
sun-dried tomatoes,italy 
chili flakes,italy 
