name,country
asparagus,
amaranth,
artichoke,
arugula,
aubergine,
banana squash,
bean sprouts,
beet,
beetroot,
bell pepper,
black olives,
bok choy,
broccoflower,
broccoli,
brussels sprout,
brussels sprouts,
butternut squash,
cabbage,
calabrese,
cannabis,
cannellini beans,
capers,
capsicum,
carrot,
carrots,
cauliflower,
cayenne pepper,
celeriac,
celery,
chard,
chili beans,
chili pepper,mexico
chives,
collard,
collard greens,
corn salad,
corn squash,
courgette,
cucumber,
daikon,
delicata,
dill,
eggplant,
endive,
fiddleheads,
fresh chives,
frisee,
garlic,
gem squash,
ginger,
grean bean,
green beans,
green chile,
green onion,
green pepper,
habanero,
horseradish,
hubbard squash,
jalapeno,mexico
jerusalem artichoke,
jicama,
jícama,
kale,
kernel corn,
kohlrabi,
large potato,
leek allium porrum,
leeks,
lettuce,
mangel-wurzel,
marrow,
mushrooms,
mustard greens,
nettles,
new zealand spinach,
okra,
onion,
parsnip,
patty pans,
pea,
peas,
peppers,
pimento,
potato,
pumpkin,
radicchio,
radish,
red pepper,
rhubarb,
rutabaga,
salsify,
scallion,
shallot,
skirret,
spaghetti squash,
spinach,
sprigs fresh,
squash,
swede,
sweet potato,
sweet potatoe,
tabasco pepper,
taro,
tomatillo,
tomato,
topinambur,
turnip,
wasabi,
water chestnut,
watercress,
white radish,
yam,
yellow squash,
zucchini,
maize,mexico
